agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_min_visits,param_agent_num_iters,param_agent_r_max,param_agent_target_update_freq,param_agent_vmax,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
DQNAgent,sweep_c66,10,0.00449605765752489,0.003307045017825374,0.001045779458104032,0.0,0.0081799589097499,0.00511247431859365,0.002046037348918525,0.0076561910100281004,DQNAgent,0.99,45700.0,0.0194788,0.770783,,,0.139108,1.14979,,,,64.0,,16384,FlatteningReplayBuffer,"(264,)",,0,0,2048,64,1,8,0,1000000,256,True,2
DQNAgent,sweep_c13,10,0.0038884138688444403,0.002448965683591515,0.0007744309471740431,0.0,0.0081799589097499,0.0040899794548749,0.0020491802133619,0.005625816993415275,DQNAgent,0.99,111402.0,0.0152408,0.42948,,,0.471036,14.0608,,,,64.0,,1024,FlatteningReplayBuffer,"(264,)",,0,0,2048,256,1,1,0,1000000,64,True,8192
DRMAgent,sweep_c4,10,0.00388382477685802,0.0027954087279560757,0.0008839858571455205,0.0,0.0081799589097499,0.0030695798341184004,0.0020491802133619,0.005623721750453025,DRMAgent,0.99,,,,16.0,267.0,3.44913e-05,13.7483,,,0.01,16384.0,,2048,FlatteningReplayBuffer,"(264,)",,0,0,2048,512,1,1,0,1000000,64,True,512
DRMAgent,sweep_c65,10,0.00368056758306914,0.0026905235617574316,0.0008508182553502184,0.0,0.0061349691823124,0.00408581458032125,0.002046037348918525,0.0061349691823124,DRMAgent,0.99,,,,16.0,51.0,0.000282316,11.0408,,,0.01,256.0,,1024,FlatteningReplayBuffer,"(264,)",,0,0,2048,128,1,3,0,1000000,64,True,1
DRMAgent,sweep_c92,10,0.00327282166108482,0.0019760350731935065,0.0006248771567669014,0.0,0.0061349691823124,0.0040899794548749,0.002556237159296775,0.0040899794548749,DRMAgent,0.99,,,,16.0,332.0,0.197814,2.30549,,,0.01,4096.0,,4096,FlatteningReplayBuffer,"(264,)",,0,0,2048,256,1,3,0,1000000,32,True,8
DRMAgent,sweep_c63,10,0.0032699002418666604,0.0029191473208036605,0.0009231154359317792,0.0,0.0081632649526,0.0030695798341184004,0.000512295053340475,0.005614331574179175,DRMAgent,0.99,,,,16.0,462.0,1.43666e-06,10.031,,,0.01,16384.0,,8192,FlatteningReplayBuffer,"(264,)",,0,0,2048,32,1,9,0,1000000,2,True,256
DRMAgent,sweep_c86,10,0.0030679036397486406,0.003233265694709956,0.001022448387577009,0.0,0.0081799589097499,0.0030695798341184004,0.0,0.0040899794548749,DRMAgent,0.99,,,,16.0,357.0,5.1455e-06,8.90683,,,0.01,4096.0,,4096,FlatteningReplayBuffer,"(264,)",,0,0,2048,256,1,5,0,1000000,16,True,1024
DRMAgent,sweep_c2,10,0.00286341146565968,0.002396281057652894,0.0007577706056100401,0.0,0.0081632649526,0.0020491802133619,0.002046037348918525,0.0040899794548749,DRMAgent,0.99,,,,16.0,362.0,0.0606436,4.7212,,,0.01,256.0,,2048,FlatteningReplayBuffer,"(264,)",,0,0,2048,512,1,7,0,1000000,32,True,256
DRMAgent,sweep_c15,10,0.0022494938224553603,0.0022488441757564054,0.0007111469698194252,0.0,0.0061224489472806,0.0020470849703996498,0.0,0.0040899794548749,DRMAgent,0.99,,,,16.0,64.0,0.00560353,12.4683,,,0.01,32768.0,,2048,FlatteningReplayBuffer,"(264,)",,0,0,2048,128,1,2,0,1000000,2,True,8192
DRMAgent,sweep_c62,10,0.00204624687321479,0.0021556093938479353,0.0006816635430214427,0.0,0.0061349691823124,0.0020491802133619,0.0,0.0035797796444966504,DRMAgent,0.99,,,,16.0,201.0,0.000421108,6.88651,,,0.01,512.0,,2048,FlatteningReplayBuffer,"(264,)",,0,0,2048,16,1,1,0,1000000,1,True,16
DRMAgent,sweep_c61,10,0.00204541389830405,0.0019250879943023265,0.0006087662758240599,0.0,0.0061224489472806,0.0020491802133619,0.00051124743185935,0.0020491802133619,DRMAgent,0.99,,,,16.0,435.0,5.62777e-06,12.0102,,,0.01,4096.0,,2048,FlatteningReplayBuffer,"(264,)",,0,0,2048,256,1,3,0,1000000,8,True,4096
DRMAgent,sweep_c58,10,0.0018417530227452096,0.002031883513689217,0.0006425379843403842,0.0,0.0061224489472806,0.0020491802133619,0.0,0.0020491802133619,DRMAgent,0.99,,,,16.0,239.0,0.000191701,1.61206,,,0.01,64.0,,4096,FlatteningReplayBuffer,"(264,)",,0,0,2048,16,1,4,0,1000000,1,True,1024
DRMAgent,sweep_c33,10,0.0018413288518786,0.0022506065956779705,0.0007117042959340055,0.0,0.0061349691823124,0.00102459010668095,0.0,0.0035797796444966504,DRMAgent,0.99,,,,16.0,447.0,8.1597e-06,0.730234,,,0.01,64.0,,8192,FlatteningReplayBuffer,"(264,)",,0,0,2048,512,1,9,0,1000000,16,True,32
DRMAgent,sweep_c68,10,0.0016380870249121898,0.0016148822021918796,0.0005106705911794897,0.0,0.0040983604267239,0.0020470849703996498,0.0,0.0020491802133619,DRMAgent,0.99,,,,16.0,2.0,1.6177e-05,11.2449,,,0.01,128.0,,16384,FlatteningReplayBuffer,"(264,)",,0,0,2048,64,1,1,0,1000000,1,True,8192
DRMAgent,sweep_c1,10,0.0016380870249121803,0.0012941029346375007,0.0004092312800162509,0.0,0.0040899794548749,0.0020491802133619,0.00051124743185935,0.0020491802133619,DRMAgent,0.99,,,,16.0,299.0,0.183465,7.61983,,,0.01,512.0,,16384,FlatteningReplayBuffer,"(264,)",,0,0,2048,32,1,7,0,1000000,2,True,256
DRMAgent,sweep_c22,10,0.0016351588070392304,0.0023190501240117267,0.0007333480399972993,0.0,0.0061224489472806,0.0,0.0,0.0035797796444966504,DRMAgent,0.99,,,,16.0,183.0,0.000196875,2.38585,,,0.01,1024.0,,1024,FlatteningReplayBuffer,"(264,)",,0,0,2048,128,1,9,0,1000000,2,True,2048
DRMAgent,sweep_c67,10,0.0012286700308322502,0.0014309355790290668,0.0004525015614703722,0.0,0.0040899794548749,0.00102459010668095,0.0,0.0020491802133619,DRMAgent,0.99,,,,16.0,355.0,1.4908e-06,2.75082,,,0.01,2048.0,,8192,FlatteningReplayBuffer,"(264,)",,0,0,2048,64,1,0,0,1000000,2,True,8
