experiment_id,experiment_name,run_id,run_name,status,start_time,end_time,lifecycle_stage,param_agent_class,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_min_visits,param_agent_num_iters,param_agent_num_update_epochs,param_agent_r_max,param_agent_target_update_freq,param_agent_use_vmax,param_agent_v_max,param_agent_vmax,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps,tag_group,tag_mlflow.runName,tag_mlflow.source.git.commit,tag_mlflow.source.name,tag_mlflow.source.type,tag_mlflow.user,metric_last100_train_disc_return_mean,metric_last100_train_return_mean,metric_train_disc_return_mean,metric_train_return_mean,artifact_uri
355755658541147001,navix_5x5_layout1,10d792f0688e4e66b6613fa0ecc0c9bd,sweep_c52_seed_4,3,1771876975558,1771880385350.0,active,DRMAgent,0.99,,,,5,166,0.0135717,3.00511,,,1,1.0,2048,True,1.0,,8192,FlatteningReplayBuffer,"(33,)",None,0,0,100,32,1,4,0,1000000,1,True,512,sweep_c52,sweep_c52_seed_4,56e3672354b6110aa7d48a543247e209f4203b43,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,0.20734958350658417,0.3799999952316284,0.17699243128299713,0.3106193244457245,/home/lcruz1/mlruns/355755658541147001/10d792f0688e4e66b6613fa0ecc0c9bd/artifacts
355755658541147001,navix_5x5_layout1,724244dd65f846a6ac05b7b180cc312c,sweep_c78_seed_6,3,1771877042459,1771880011591.0,active,DRMAgent,0.99,,,,5,154,0.0250634,13.3213,,,1,1.0,64,True,1.0,,2048,FlatteningReplayBuffer,"(33,)",None,0,0,100,16,1,6,0,1000000,32,True,64,sweep_c78,sweep_c78_seed_6,56e3672354b6110aa7d48a543247e209f4203b43,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,0.0,0.0,0.030775446444749832,0.056840453296899796,/home/lcruz1/mlruns/355755658541147001/724244dd65f846a6ac05b7b180cc312c/artifacts
355755658541147001,navix_5x5_layout1,1b09556b57ee45dfaabf3921efe65001,sweep_c19_seed_7,3,1771874254136,1771883436714.0,active,RMaxNFQAgent,0.99,,,,,,0.00057216,1.96336,76,201,,,,,,1.0,2048,FlatteningReplayBuffer,"(400,)",None,0,0,100,256,1,7,0,1000000,32,True,8192,sweep_c19,sweep_c19_seed_7,4b5374eca37f2681facc5769bb98fe42c8b6dd01,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,0.2781972289085388,0.38999998569488525,0.34353750944137573,0.46259021759033203,/home/lcruz1/mlruns/355755658541147001/1b09556b57ee45dfaabf3921efe65001/artifacts
355755658541147001,navix_5x5_layout1,b27b34dd5e4544aaa05f7befb344e0d3,sweep_c25_seed_2,3,1771883514983,1771887734942.0,active,DQNAgent,0.99,339134,0.161143,0.757497,,,3.26645e-05,1.81513,,,,,2048,,,,4096,FlatteningReplayBuffer,"(33,)",None,0,0,100,64,1,2,0,1000000,1,True,1,sweep_c25,sweep_c25_seed_2,4bd4a4d96a07cb312657dcd601e616a8236954a8,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,0.9392634630203247,1.0,0.9248930215835571,0.996265172958374,/home/lcruz1/mlruns/355755658541147001/b27b34dd5e4544aaa05f7befb344e0d3/artifacts
355755658541147001,navix_5x5_layout1,555fd618dcba45c899c4cb76446d67d1,sweep_c15_seed_4,3,1771883481565,1771886412669.0,active,DQNAgent,0.99,384568,0.0338555,0.439549,,,0.681775,12.5911,,,,,8192,,,,4096,FlatteningReplayBuffer,"(33,)",None,0,0,100,512,1,4,0,1000000,8,True,4096,sweep_c15,sweep_c15_seed_4,4bd4a4d96a07cb312657dcd601e616a8236954a8,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,0.013142023235559464,0.019999999552965164,0.026873337104916573,0.05064411461353302,/home/lcruz1/mlruns/355755658541147001/555fd618dcba45c899c4cb76446d67d1/artifacts
355755658541147001,navix_5x5_layout1,276958cfaf5a49bfad5bb6b00211f8af,sweep_c37_seed_9,3,1771876882381,1771894739025.0,active,RMaxNFQAgent,0.99,,,,,,7.62108e-06,4.6982,74,203,,,,,,1.0,16384,FlatteningReplayBuffer,"(400,)",None,0,0,100,64,1,9,0,1000000,16,True,128,sweep_c37,sweep_c37_seed_9,56e3672354b6110aa7d48a543247e209f4203b43,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,0.0,0.0,0.0002537789987400174,0.00039992001256905496,/home/lcruz1/mlruns/355755658541147001/276958cfaf5a49bfad5bb6b00211f8af/artifacts
355755658541147001,navix_5x5_layout1,a5bf74a132074cfc8db916e678e45518,sweep_c97_seed_9,3,1771877048285,1771881396632.0,active,DRMAgent,0.99,,,,5,331,4.98892e-06,5.44768,,,1,1.0,32768,True,1.0,,32768,FlatteningReplayBuffer,"(33,)",None,0,0,100,256,1,9,0,1000000,8,True,2,sweep_c97,sweep_c97_seed_9,56e3672354b6110aa7d48a543247e209f4203b43,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,0.0,0.0,0.0001784519263310358,0.0002999700082000345,/home/lcruz1/mlruns/355755658541147001/a5bf74a132074cfc8db916e678e45518/artifacts
355755658541147001,navix_5x5_layout1,29b964a4b2594acaa9df1a9a49e1420e,sweep_c69_seed_8,3,1771883856679,1771887989214.0,active,DQNAgent,0.99,200977,0.107053,0.409949,,,0.00515142,8.90683,,,,,4096,,,,4096,FlatteningReplayBuffer,"(33,)",None,0,0,100,256,1,8,0,1000000,16,True,1024,sweep_c69,sweep_c69_seed_8,4bd4a4d96a07cb312657dcd601e616a8236954a8,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,0.9353864192962646,1.0,0.9300960898399353,0.9910019636154175,/home/lcruz1/mlruns/355755658541147001/29b964a4b2594acaa9df1a9a49e1420e/artifacts
355755658541147001,navix_5x5_layout1,aab1d6e0a7e84d6a8dcfa427f3a8de13,sweep_c96_seed_2,3,1771877038210,1771882040071.0,active,DRMAgent,0.99,,,,5,112,0.156124,11.1546,,,1,1.0,64,True,1.0,,16384,FlatteningReplayBuffer,"(33,)",None,0,0,100,1024,1,2,0,1000000,1,True,64,sweep_c96,sweep_c96_seed_2,56e3672354b6110aa7d48a543247e209f4203b43,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,0.19127002358436584,0.36000001430511475,0.20737716555595398,0.36348122358322144,/home/lcruz1/mlruns/355755658541147001/aab1d6e0a7e84d6a8dcfa427f3a8de13/artifacts
355755658541147001,navix_5x5_layout1,bd9bfa359fc443e4a1e2ba005f56d3a0,sweep_c50_seed_4,3,1771877027478,1771881365245.0,active,DRMAgent,0.99,,,,5,214,0.000800428,10.7861,,,1,1.0,32768,True,1.0,,32768,FlatteningReplayBuffer,"(33,)",None,0,0,100,64,1,4,0,1000000,32,True,1,sweep_c50,sweep_c50_seed_4,56e3672354b6110aa7d48a543247e209f4203b43,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,0.0,0.0,0.0007574933115392923,0.001399440225213766,/home/lcruz1/mlruns/355755658541147001/bd9bfa359fc443e4a1e2ba005f56d3a0/artifacts
