parent_run_id,parent_name,eval_auc_mean,eval_auc_se,eval_last100_mean,eval_last100_se,eval_full_mean,eval_full_se,eval_total_sum_mean,eval_total_sum_se,eval_n_seeds,train_auc_mean,train_auc_se,train_last100_mean,train_last100_se,train_full_mean,train_full_se,train_total_sum_mean,train_total_sum_se,train_n_seeds,param.num_actions,param.m,param.initial_value,param.learning_rate,param.num_states,param.r_max,param.discount,param.horizon
ab75da6e8bbb455cbc4bcc3a3c28fab8,rmax_dtp_planner_lr0p05_m_15_hz1,288871913.45194685,87678451.72490504,962.9587400912857,287.65798884500623,964.387145115498,292.8348142497835,578632.2870692989,175700.88854987014,11,122179038.96170159,24611651.218814805,419.9548313176632,91.61709805223293,407.67253769272236,82.06771475867907,244603.52261563338,49240.62885520744,11,6,15,0.0,0.05,7,6.0,0.9,1
bf979a777d344d07b54537c8446647bc,rmax_dtp_planner_lr0p1_m_15_hz1,277953555.680116,70292160.96743079,931.2985259748509,235.88152632929837,927.4850127876068,234.45070500272408,556491.0076725641,140670.42300163442,11,111129314.62060897,41596705.02836153,377.2124577408119,145.54390259124878,371.25008422158453,139.10055299424124,222750.05053295073,83460.33179654476,11,6,15,0.0,0.1,7,6.0,0.9,1
f89ef16fb38f4da68f0d5eedfa0c4cbc,rmax_dtp_planner_lr0p2_m_10_hz1,273281494.6850855,61204991.94397343,904.8806775026845,196.54269540722782,912.0319298493326,204.22917900060045,547219.1579095996,122537.50740036031,11,78180845.3836241,21342817.0751363,257.7742273512664,71.13674534397649,261.0158876262666,71.18458736562596,156609.53257575995,42710.75241937558,11,6,10,0.0,0.2,7,6.0,0.9,1
5fcf0da96ff04d09a713fa420ec0e12e,rmax_dtp_planner_lr0p1_m_30_hz2,287142079.9901426,103262207.91018558,899.8347670329495,301.01566426211645,957.815293118569,344.1581898814231,574689.1758711415,206494.91392885384,11,139722123.67866296,24181872.815548744,492.4826375145118,102.72809729009597,466.3783946402159,80.73614617601949,279827.03678412957,48441.687705611694,11,6,30,0.0,0.1,7,6.0,0.9,2
1ecf9a2ece6a4843b6cd64d8f5f84605,rmax_dtp_planner_lr0p1_m_10_hz1,256553067.02735138,82159127.67570283,852.2753019408055,271.3604012743696,855.9710526697542,273.90466861142096,513582.6316018525,164342.8011668526,11,123942152.74396229,26015607.854339156,405.3358192423219,81.00656548759149,413.5364028854664,86.73514365760053,248121.84173127986,52041.08619456032,11,6,10,0.0,0.1,7,6.0,0.9,1
8bd4285397884ff3acd9a16c4ee134ea,rmax_dtp_planner_lr0p03_m_15_hz1,243625727.68682033,108850773.38689357,829.472282952019,379.4724355399096,813.2356585354339,363.2358111233245,487941.3951212604,217941.4866739947,11,121420399.3244861,13200060.966890305,404.99986267089844,44.99998474121094,405.2088293532446,44.03958234276633,243125.2976119468,26423.749405659804,11,6,15,0.0,0.03,7,6.0,0.9,1
b3bcde1894c64533b410b20053e9d3d6,rmax_dtp_planner_lr0p1_m_5_hz1,256266918.54634172,90600223.33553739,791.7716552048904,237.24718794497872,855.4356505687992,302.43349626636495,513261.39034127956,181460.09775981898,11,127770970.87503159,27269456.28448443,424.98756824690435,88.56453844586638,426.64868321055445,90.98733268982787,255989.20992633267,54592.39961389673,11,6,5,0.0,0.1,7,6.0,0.9,1
542d9f35bd724f77ba3362cddefc94c3,rmax_dtp_planner_lr0p1_m_25_hz2,198975183.92598394,63804333.41826598,686.8229559214755,236.82310850936614,667.3182946331423,215.72312748819834,400390.97677988536,129433.87649291902,11,139707579.9370894,5225671.853695065,460.18793466015006,10.188087248040642,466.13550087750775,17.386156158516844,279681.3005265046,10431.693695110103,11,6,25,0.0,0.1,7,6.0,0.9,2
59c0e0bbd23d462f9f62636ed27760cd,rmax_dtp_planner_lr0p03_m_10_hz1,191348423.47990972,56573469.17998297,626.6881520943176,176.68830468220818,638.5504319333071,188.55058452119766,383130.25915998424,113130.35071271862,11,143245448.41641566,8640956.691484174,488.7764419643307,38.77659455222127,478.5424917758035,29.07396733934974,287125.4950654821,17444.380403609845,11,6,10,0.0,0.03,7,6.0,0.9,1
867924a9f3f74006bd01c6409a08fa14,rmax_dtp_planner_lr0p05_m_30_hz2,135012916.95404053,237962.6541137695,449.9998474121094,0.0,450.7930562591553,0.7932088470459006,270475.83375549316,475.92530822753895,11,134468654.10275385,110133.22900121298,449.9998474121094,0.0,448.78815932885556,0.33948617154946803,269272.89559731336,203.6917029296818,11,6,30,0.0,0.05,7,6.0,0.9,2
