parent_run_id,parent_name,eval_auc_mean,eval_auc_se,eval_last100_mean,eval_last100_se,eval_full_mean,eval_full_se,eval_n_seeds,train_auc_mean,train_auc_se,train_last100_mean,train_last100_se,train_full_mean,train_full_se,train_n_seeds,param.lambda_,param.num_states,param.initial_value,param.learning_rate,param.discount,param.horizon,param.num_actions,param.beta,param.use_time_bonus
e7fc34b33af34d4c9bf64bfc8b109ecd,ucb_dtp_planner_lr0p5_beta40p0_hz3_timebonus,-5514.463173225522,1807.195138214682,-0.003275770593434572,0.002191890053695426,-0.018738979276269673,0.006176598610208765,11,-1032071.7647874262,58873.71427546304,-2.5167775394967755,0.4154298673025319,-3.447828024822442,0.19646326512527013,11,,252,0.0,0.5,0.9,3,2,40.0,True
ab29abfb4bb744cbbc7b57af6e4e0ccd,ucb_dtp_planner_lr0p4_beta100_hz7_timebonus,-83.1704018637538,89.7544842671265,-0.003442039128392935,0.003571900715486314,-0.0005736731880654891,0.0005953167859143857,11,-1718977.8790569864,22647.75619675759,-6.04169547845982,0.3474566148147152,-5.739576340826539,0.07567980485501519,11,,252,0.0,0.4,0.9,7,2,100,True
c0bcd8ba62a84fe39849ca304048fa12,ucb_dtp_planner_lr1p0_beta40p0_hz3_static,-12128.685798496008,3107.9129280619272,-0.003909430861473084,0.0026107956173271893,-0.04042895266165337,0.010359709760206424,11,-824849.332899509,21168.37287318775,-1.0302900830163417,0.05800271818903737,-2.7541881553464753,0.07055885314766545,11,,252,0.0,1.0,0.9,3,2,40.0,False
d63ffe872a214baa9ed2d16543535720,ucb_dtp_planner_lr1p0_beta10p0_hz6_static,-15473.09918673709,4614.893543893873,-0.004257057189941406,0.004257057189941406,-0.05157699728912363,0.015382978479646245,11,-143341.00273074995,6200.519589275571,-0.03400843596820035,0.013942271373602934,-0.4821575557729366,0.02078066453471903,11,,252,0.0,1.0,0.9,6,2,10.0,False
ab294313ed8942469e0653be1afdb822,ucb_dtp_planner_lr1p0_beta5_hz6_timebonus,-31260.91508809477,7205.232621968618,-0.0048474793434143066,0.0048474793434143066,-0.10420305029364925,0.024017442073228725,11,-487342.79896011285,24089.422496581672,-0.378322296346191,0.05685856442928493,-1.628705804921741,0.0803505561101753,11,,252,0.0,1.0,0.9,6,2,5,True
fe940cf9932145c4ae8112c19e16e1e2,ucb_dtp_planner_lr0p3_beta5_hz5_static,11242.347819008864,26664.10850781567,-0.005388168033678092,0.09845094283138131,0.03736157604811403,0.08911047798636411,11,-113174.20869489088,47240.40190579919,-0.023876825883238244,0.15780951725262937,-0.38120591172640766,0.157631241917004,11,,252,0.0,0.3,0.9,5,2,5,False
262256ff522c4dcdba73b75e328345cb,ucb_dtp_planner_lr0p2_beta100_hz7_timebonus,1495.6332318484783,1836.867016434414,-0.005588485717773437,0.005588485717773437,0.004985444106161595,0.006122890054781379,11,-1504733.8897337397,22935.89726612859,-5.51227739446424,0.2447510990499455,-5.025737774527696,0.0763516096052218,11,,252,0.0,0.2,0.9,7,2,100,True
0e7120c7533f490eb49c8cc90c91dbf9,ucb_dtp_planner_lr0p1_beta50_hz6_static,-355.5247727781534,355.5247727781534,-0.007032749325037002,0.007032749325037002,-0.0011721248875061672,0.001172124887506167,11,-820305.4587949067,58831.52214531398,-1.7738497847914698,0.29952232710691595,-2.7394917661050955,0.19614549111118668,11,,252,0.0,0.1,0.9,6,2,50,False
d488810ccc8b4a918875b11c252abe5a,ucb_dtp_planner_lr0p3_beta100_hz2_timebonus,-521.8414034694433,486.7051349699039,-0.007811384789645671,0.007811384789645671,-0.0014105435696740944,0.0012943370972125082,11,-1398199.581913507,32454.0413735424,-4.326596828624588,0.398291544699944,-4.669369286035022,0.10841671590480716,11,,252,0.0,0.3,0.9,2,2,100,True
04a83851037c4cb7ad988df497b3c366,ucb_dtp_planner_lr0p8_beta100_hz3_static,3464.8519319482148,21369.562661783697,-0.009296517703682195,0.11929355833717792,0.011217736208500964,0.07146324504062203,11,-728590.8908373909,68196.16456734545,-1.830067822347861,0.5491664804054659,-2.4342796878092146,0.22759071648941995,11,,252,0.0,0.8,0.9,3,2,100,False
57822a3c8bd043c1aae512a0c8747032,ucb_dtp_planner_lr0p8_beta100_hz6_timebonus,-2771.7938616871834,1452.9397366136589,-0.010050795435905455,0.007064148844707755,-0.00923931287229061,0.004843132455378863,11,-1778925.1089307014,19675.82143549851,-6.031951686307788,0.25116408108809857,-5.939280641049923,0.06568520349720985,11,,252,0.0,0.8,0.9,6,2,100,True
0685c2400a444bd9949d343db0d722cd,ucb_dtp_planner_lr0p8_beta50_hz1_timebonus,16571.998443920165,27348.0326374891,-0.010514183782041072,0.010514183782041072,0.05523999481306722,0.09116010879163033,11,-595625.9599543875,55400.176697041534,-1.8327824734300375,0.1503198173558758,-1.9910368561793583,0.18466081609624513,11,,252,0.0,0.8,0.9,1,2,50,True
