agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_discount,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_min_visits,param_agent_num_iters,param_agent_r_max,param_agent_target_update_freq,param_agent_use_vmax,param_agent_v_max,param_agent_vmax,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
DRMAgent,sweep_c38,10,0.00336595503613348,0.0004999362797362684,0.0001580937328917691,0.0022983911912888,0.0038941588718444,0.0034956254530697497,0.0032216135296038997,0.0037447424838318753,DRMAgent,0.99,5,245.0,0.0205275,4.68741,,,1.0,64.0,True,1.0,,2048,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,1,7,0,1000000,64,True,16
RMaxNFQAgent,sweep_c70,10,0.0031753765884786505,0.0013174415859593506,0.0004166116095856054,0.0021984609775245,0.0058846999891102,0.00249775208067145,0.0022983911912888,0.0032962093246169,RMaxNFQAgent,0.99,5,,2.06686e-05,4.02116,65.0,95.0,,,,,1.0,16384,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,64,1,1,0,1000000,64,True,8192
DRMAgent,sweep_c32,10,0.00310633357148613,0.0008510541530184405,0.0002691269535683736,0.0019988007843494,0.0044928113929927,0.00299670372623945,0.002372971677686975,0.0037698145606554247,DRMAgent,0.99,5,468.0,0.000472032,12.9343,,,1.0,128.0,True,1.0,,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,512,1,8,0,1000000,256,True,2
DRMAgent,sweep_c83,10,0.0029952082666567905,0.0014141291947121794,0.0004471869161030225,0.001299480209127,0.0063770427368581,0.0025479616597294,0.002273221383802575,0.003345476055983375,DRMAgent,0.99,5,406.0,3.54391e-05,5.16437,,,1.0,16384.0,True,1.0,,8192,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,32,1,1,0,1000000,2,True,8192
DRMAgent,sweep_c53,10,0.00284734552260482,0.0004688045806805028,0.00014824902524705584,0.0020985309965908,0.0034961542114615,0.0028472875710576,0.00257305894047015,0.0031964839436113,DRMAgent,0.99,5,219.0,0.222282,4.416,,,1.0,512.0,True,1.0,,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,128,1,7,0,1000000,64,True,8192
DRMAgent,sweep_c97,10,0.0027866234886459494,0.0007168488771994388,0.0002266875190084571,0.0017989206826314,0.003794687334448,0.0025473277783021,0.0022981613874435,0.00351883866824205,DRMAgent,0.99,5,357.0,0.0011136,13.9534,,,1.0,16384.0,True,1.0,,65536,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,256,1,3,0,1000000,128,True,16
RMaxNFQAgent,sweep_c81,10,0.00257714555482375,0.0009775066644303956,0.00030911474875939485,0.0008998200646601,0.0042927023023366,0.0025975224561989,0.001898775895824625,0.00304641661932685,RMaxNFQAgent,0.99,5,,0.00141292,8.18769,15.0,128.0,,,,,1.0,4096,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,16,1,9,0,1000000,64,True,16
RMaxNFQAgent,sweep_c59,10,0.0025275756255723003,0.0005041384068726363,0.00015942256216862146,0.0018990504322573,0.0036937205586582,0.0023985607549548,0.002297989209182475,0.0027221928467042003,RMaxNFQAgent,0.99,5,,0.10292,12.0904,49.0,63.0,,,,,1.0,8192,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,16,1,1,0,1000000,64,True,32
RMaxNFQAgent,sweep_c7,10,0.0024275437230243902,0.00040735760029070935,0.000128817783909911,0.0016991504235193,0.0027963647153228,0.0025977769400924,0.002148438594303975,0.00277118047233665,RMaxNFQAgent,0.99,5,,0.00179548,2.30976,90.0,171.0,,,,,1.0,8192,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,256,1,1,0,1000000,256,True,128
DRMAgent,sweep_c41,10,0.00237794697750354,0.0007524792623379836,0.00023795483610313867,0.0015992004191502,0.0039944075979292,0.00229815149214115,0.0017988157924264,0.0024981887545436,DRMAgent,0.99,5,290.0,0.000164828,1.08094,,,1.0,128.0,True,1.0,,2048,FlatteningReplayBuffer,"(5, 5, 3)",,0,0,100,32,1,2,0,1000000,8,True,64
