agent_class,group,n_seeds,mean,std,sem,min,max,median,q25,q75,param_agent_class,param_agent_convergence_threshold,param_agent_discount,param_agent_eps_decay_steps,param_agent_eps_end,param_agent_eps_start,param_agent_grid_size,param_agent_known_threshold,param_agent_learning_rate,param_agent_max_grad_norm,param_agent_num_update_epochs,param_agent_r_max,param_agent_target_update_freq,param_buffer_buffer_size,param_buffer_class,param_buffer_obs_shape,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps
RMaxAgent,sweep_c57,10,0.07377602197229859,0.014656891944358772,0.004634916196314762,0.0424242429435253,0.0943025574088096,0.07128040492534635,0.06792197376489638,0.08485160395503037,RMaxAgent,1.76779e-05,0.99,,,,,242.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,7,0,1000000,1,True,0
DQNAgent,sweep_c46,10,0.06848766729235646,0.02341026828770026,0.007402976842474279,0.0402414500713348,0.1056751459836959,0.0636145919561386,0.05115060415118927,0.08635735139250753,DQNAgent,,0.99,463042.0,0.0529983,0.843494,,,0.00018337,9.19078,,,64.0,131072,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,512,1,3,0,1000000,42,True,2048
DQNAgent,sweep_c36,10,0.0680135417729616,0.015051809666300242,0.004759800145284772,0.0523138828575611,0.1041257381439209,0.06465896405279631,0.05911294743418688,0.0724206380546093,DQNAgent,,0.99,481796.0,0.0539231,0.91436,,,0.0103201,12.5196,,,2048.0,131072,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,128,1,5,0,1000000,35,True,2
DQNAgent,sweep_c33,10,0.06710762847214934,0.02512613098237259,0.00794558026920214,0.0223577227443456,0.1001964658498764,0.06361829116940496,0.05060222465544932,0.08999569341540331,DQNAgent,,0.99,307828.0,0.29909,0.454097,,,3.11797e-06,6.52519,,,256.0,32768,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,32,1,3,0,1000000,5,True,512
DQNAgent,sweep_c92,10,0.0658406656235456,0.009180231031959822,0.0029030439507551054,0.050200805068016,0.0772277191281318,0.06927710771560665,0.05899999849498267,0.07153507508337492,DQNAgent,,0.99,453441.0,0.0233724,0.82295,,,7.25107e-05,10.0596,,,8192.0,8192,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,256,1,2,0,1000000,23,True,32
RMaxAgent,sweep_c51,10,0.060613769292831375,0.010801829440942603,0.0034158383930041883,0.0460000000894069,0.0790513828396797,0.05946534313261505,0.05300000123679637,0.06661346554756158,RMaxAgent,4.13909e-05,0.99,,,,,154.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,6,0,1000000,1,True,0
RMaxAgent,sweep_c13,10,0.05931706503033635,0.016663591401663253,0.00526949028276536,0.0303030312061309,0.0884086415171623,0.06187624670565125,0.048006372526288,0.0680513996630907,RMaxAgent,3.55417e-08,0.99,,,,,151.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,6,0,1000000,1,True,0
RMaxAgent,sweep_c33,10,0.05916266106069086,0.014807458335454809,0.0046825294698082795,0.0322580635547637,0.0866141766309738,0.0588822346180677,0.050061077810823904,0.06590159051120278,RMaxAgent,1.03728e-05,0.99,,,,,146.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,7,0,1000000,1,True,0
DQNAgent,sweep_c78,10,0.058370339125394764,0.02124300023417213,0.006717626507547417,0.0323886647820472,0.0907297804951667,0.056066058576106956,0.04038062039762735,0.07676095888018603,DQNAgent,,0.99,170307.0,0.14928,0.917983,,,4.01898e-06,6.89059,,,16384.0,32768,FlatteningReplayBuffer,"(16, 16, 3)",0,0,2048,256,1,8,0,1000000,2,True,16
RMaxAgent,sweep_c84,10,0.05777120962738987,0.01683581435459962,0.00532395196242925,0.0361445769667625,0.0851485133171081,0.05494610778987405,0.04425403289496895,0.06942155212163922,RMaxAgent,2.48982e-07,0.99,,,,,127.0,,,,0.01,,1,ReplayBuffer,,0,0,2048,1,1,6,0,1000000,1,True,0
