experiment_id,experiment_name,run_id,run_name,status,start_time,end_time,lifecycle_stage,param_agent_anneal_steps,param_agent_class,param_agent_discount,param_agent_final_epsilon,param_agent_initial_epsilon,param_agent_intrinsic_reward_scale,param_agent_step_size,param_buffer_buffer_size,param_buffer_class,param_checkpoint_freq,param_eval_episodes,param_evaluate_every,param_max_episode_steps,param_minibatch_size,param_num_minibatches,param_seed,param_train_episodes,param_train_steps,param_update_frequency,param_use_steps,param_warmup_steps,tag_group,tag_mlflow.runName,tag_mlflow.source.git.commit,tag_mlflow.source.name,tag_mlflow.source.type,tag_mlflow.user,metric_discounted_return,metric_episode_length,metric_loss,metric_return,artifact_uri
391196036599153267,sixarms,399eb9aae8c149c9bcf1db181ffff215,sweep_c91_seed_1,3,1773257923686,1773257928034,active,668,AnnealingEpsGreedyCountAgent,0.95,0.188467,0.644282,2480,0.00469315,1,ReplayBuffer,None,0,0,5000,1,1,1,1,5000,1,True,0,sweep_c91,sweep_c91_seed_1,98721932cafb96a38efdfda11a12bbbfaf1a359f,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,19.09309196472168,5000.0,381.7138671875,289483.0,/scratch/lcruz1/hpo_countbased_intreward/391196036599153267/399eb9aae8c149c9bcf1db181ffff215/artifacts
391196036599153267,sixarms,f8a0a16a02ea49fba02c45e8715f5c27,sweep_c10_seed_4,3,1773257856267,1773257860563,active,4161,AnnealingEpsGreedyCountAgent,0.95,0.0297002,0.356312,8016,0.00619267,1,ReplayBuffer,None,0,0,5000,1,1,4,1,5000,1,True,0,sweep_c10,sweep_c10_seed_4,98721932cafb96a38efdfda11a12bbbfaf1a359f,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,128.6149139404297,5000.0,8.6591796875,152374.0,/scratch/lcruz1/hpo_countbased_intreward/391196036599153267/f8a0a16a02ea49fba02c45e8715f5c27/artifacts
391196036599153267,sixarms,2635129332bd43d4903483adb97707fd,sweep_c40_seed_3,3,1773257871810,1773257876137,active,3671,AnnealingEpsGreedyCountAgent,0.95,0.022576,0.534081,6203,0.000587812,1,ReplayBuffer,None,0,0,5000,1,1,3,1,5000,1,True,0,sweep_c40,sweep_c40_seed_3,98721932cafb96a38efdfda11a12bbbfaf1a359f,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,155.6284942626953,5000.0,42.6455078125,464300.0,/scratch/lcruz1/hpo_countbased_intreward/391196036599153267/2635129332bd43d4903483adb97707fd/artifacts
391196036599153267,sixarms,0e4528debbf147fbb0b07e88fc698931,sweep_c88_seed_4,3,1773257920908,1773257925293,active,3342,AnnealingEpsGreedyCountAgent,0.95,0.165446,0.483405,6294,0.00941977,1,ReplayBuffer,None,0,0,5000,1,1,4,1,5000,1,True,0,sweep_c88,sweep_c88_seed_4,98721932cafb96a38efdfda11a12bbbfaf1a359f,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,776.0640258789062,5000.0,178.185546875,124489.0,/scratch/lcruz1/hpo_countbased_intreward/391196036599153267/0e4528debbf147fbb0b07e88fc698931/artifacts
391196036599153267,sixarms,e2093a55d52f40e985c5d40f919a9c2f,sweep_c93_seed_2,3,1773257922487,1773257926755,active,165,AnnealingEpsGreedyCountAgent,0.95,0.141065,0.371036,531,0.00684746,1,ReplayBuffer,None,0,0,5000,1,1,2,1,5000,1,True,0,sweep_c93,sweep_c93_seed_2,98721932cafb96a38efdfda11a12bbbfaf1a359f,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,252.26451110839844,5000.0,56.20751953125,286589.0,/scratch/lcruz1/hpo_countbased_intreward/391196036599153267/e2093a55d52f40e985c5d40f919a9c2f/artifacts
391196036599153267,sixarms,1a3d6fc72c2e4a13ae73bca075a35bb8,sweep_c16_seed_2,3,1773257859286,1773257863576,active,4428,AnnealingEpsGreedyCountAgent,0.95,0.175556,0.946367,6410,0.321426,1,ReplayBuffer,None,0,0,5000,1,1,2,1,5000,1,True,0,sweep_c16,sweep_c16_seed_2,98721932cafb96a38efdfda11a12bbbfaf1a359f,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,364.4078063964844,5000.0,0.0009765625,100995.0,/scratch/lcruz1/hpo_countbased_intreward/391196036599153267/1a3d6fc72c2e4a13ae73bca075a35bb8/artifacts
391196036599153267,sixarms,8bc90ed45ba841809ba108edcd44060a,sweep_c26_seed_2,3,1773257866646,1773257870923,active,1014,AnnealingEpsGreedyCountAgent,0.95,0.271537,0.436214,7851,0.0264251,1,ReplayBuffer,None,0,0,5000,1,1,2,1,5000,1,True,0,sweep_c26,sweep_c26_seed_2,98721932cafb96a38efdfda11a12bbbfaf1a359f,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,305.27569580078125,5000.0,25.25,113725.0,/scratch/lcruz1/hpo_countbased_intreward/391196036599153267/8bc90ed45ba841809ba108edcd44060a/artifacts
391196036599153267,sixarms,f87fff751c9d49f7aa352d6728b0ddd9,sweep_c29_seed_2,3,1773257865475,1773257869880,active,4125,AnnealingEpsGreedyCountAgent,0.95,0.0184651,0.545206,7653,0.0386993,1,ReplayBuffer,None,0,0,5000,1,1,2,1,5000,1,True,0,sweep_c29,sweep_c29_seed_2,98721932cafb96a38efdfda11a12bbbfaf1a359f,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,299.9187927246094,5000.0,0.01171875,92634.0,/scratch/lcruz1/hpo_countbased_intreward/391196036599153267/f87fff751c9d49f7aa352d6728b0ddd9/artifacts
391196036599153267,sixarms,4cb900cbdc1b40d78aab99ef7d403569,sweep_c18_seed_2,3,1773257863982,1773257868381,active,4748,AnnealingEpsGreedyCountAgent,0.95,0.252882,0.712861,4509,0.380326,1,ReplayBuffer,None,0,0,5000,1,1,2,1,5000,1,True,0,sweep_c18,sweep_c18_seed_2,98721932cafb96a38efdfda11a12bbbfaf1a359f,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,343.1805419921875,5000.0,0.001953125,93024.0,/scratch/lcruz1/hpo_countbased_intreward/391196036599153267/4cb900cbdc1b40d78aab99ef7d403569/artifacts
391196036599153267,sixarms,931828512dfe4ef1a063cf21b2d9307b,sweep_c68_seed_1,3,1773257907001,1773257911308,active,4791,AnnealingEpsGreedyCountAgent,0.95,0.0526926,0.613981,3559,0.0119128,1,ReplayBuffer,None,0,0,5000,1,1,1,1,5000,1,True,0,sweep_c68,sweep_c68_seed_1,98721932cafb96a38efdfda11a12bbbfaf1a359f,/project/aip-machado/lcruz1/rl-research/rl_research/main.py,LOCAL,lcruz1,83.59733581542969,5000.0,60.28515625,74247.0,/scratch/lcruz1/hpo_countbased_intreward/391196036599153267/931828512dfe4ef1a063cf21b2d9307b/artifacts
